dataset,config,fold,seed,acc,cost
hill-valley,cheap_rr,0,0,0.6881,84.8
hill-valley,bandit,0,0,0.6964,61.7
hill-valley,round_robin,0,0,0.6898,148.3
hill-valley,cheap_rr,0,1,0.6865,84.8
hill-valley,bandit,0,1,0.6997,61.0
hill-valley,round_robin,0,1,0.6799,148.3
hill-valley,cheap_rr,0,2,0.6898,84.8
hill-valley,bandit,0,2,0.703,61.7
hill-valley,round_robin,0,2,0.6667,148.3
hill-valley,cheap_rr,1,0,0.6601,84.6
hill-valley,bandit,1,0,0.67,58.8
hill-valley,round_robin,1,0,0.665,148.1
hill-valley,cheap_rr,1,1,0.6799,84.6
hill-valley,bandit,1,1,0.6733,59.5
hill-valley,round_robin,1,1,0.6485,148.1
hill-valley,cheap_rr,1,2,0.6766,84.6
hill-valley,bandit,1,2,0.6683,58.8
hill-valley,round_robin,1,2,0.6634,148.1
hill-valley,cheap_rr,2,0,0.6551,84.4
hill-valley,bandit,2,0,0.6848,60.1
hill-valley,round_robin,2,0,0.6436,147.9
hill-valley,cheap_rr,2,1,0.6419,84.4
hill-valley,bandit,2,1,0.6634,58.6
hill-valley,round_robin,2,1,0.637,147.9
hill-valley,cheap_rr,2,2,0.6518,84.4
hill-valley,bandit,2,2,0.6601,58.6
hill-valley,round_robin,2,2,0.6634,147.9
hill-valley,cheap_rr,3,0,0.6848,84.6
hill-valley,bandit,3,0,0.6931,59.6
hill-valley,round_robin,3,0,0.6634,148.1
hill-valley,cheap_rr,3,1,0.6733,84.6
hill-valley,bandit,3,1,0.6898,58.3
hill-valley,round_robin,3,1,0.6716,148.1
hill-valley,cheap_rr,3,2,0.6815,84.6
hill-valley,bandit,3,2,0.6716,59.6
hill-valley,round_robin,3,2,0.665,148.1
statlog-image,cheap_rr,0,0,0.9705,83.6
statlog-image,bandit,0,0,0.9705,59.2
statlog-image,round_robin,0,0,0.9723,147.2
statlog-image,cheap_rr,0,1,0.9775,83.6
statlog-image,bandit,0,1,0.9723,59.2
statlog-image,round_robin,0,1,0.9757,147.2
statlog-image,cheap_rr,0,2,0.9775,83.6
statlog-image,bandit,0,2,0.9688,59.9
statlog-image,round_robin,0,2,0.9792,147.2
statlog-image,cheap_rr,1,0,0.9827,82.4
statlog-image,bandit,1,0,0.9792,54.4
statlog-image,round_robin,1,0,0.9844,146.3
statlog-image,cheap_rr,1,1,0.9861,82.4
statlog-image,bandit,1,1,0.9827,54.7
statlog-image,round_robin,1,1,0.9879,146.3
statlog-image,cheap_rr,1,2,0.9809,82.4
statlog-image,bandit,1,2,0.9809,54.7
