dataset,fe,freq
hill-valley,identity,0.075
hill-valley,autofeat,0.02
hill-valley,random_proj,0.235
hill-valley,ht_svd,0.54
hill-valley,robust,0.0675
hill-valley,minmax,0.0625
statlog-image,identity,0.1125
statlog-image,autofeat,0.02
statlog-image,random_proj,0.2
statlog-image,ht_svd,0.54
statlog-image,robust,0.065
statlog-image,minmax,0.0625
molec-biol-promoter,identity,0.075
molec-biol-promoter,autofeat,0.02
molec-biol-promoter,random_proj,0.06
molec-biol-promoter,ht_svd,0.74
molec-biol-promoter,robust,0.0475
molec-biol-promoter,minmax,0.0575
monks-3,identity,0.0925
monks-3,autofeat,0.02
monks-3,random_proj,0.1675
monks-3,ht_svd,0.5925
monks-3,robust,0.07
monks-3,minmax,0.0575
vertebral-column-3clases,identity,0.1025
vertebral-column-3clases,autofeat,0.02
vertebral-column-3clases,random_proj,0.185
vertebral-column-3clases,ht_svd,0.575
vertebral-column-3clases,robust,0.055
vertebral-column-3clases,minmax,0.0625
arrhythmia,identity,0.08
arrhythmia,autofeat,0.02
arrhythmia,random_proj,0.2025
arrhythmia,ht_svd,0.5625
arrhythmia,robust,0.07
arrhythmia,minmax,0.065
libras,identity,0.1025
libras,autofeat,0.02
libras,random_proj,0.2675
libras,ht_svd,0.465
libras,robust,0.07
libras,minmax,0.075
plant-shape,identity,0.0925
plant-shape,autofeat,0.02
plant-shape,random_proj,0.2725
plant-shape,ht_svd,0.4575
plant-shape,robust,0.0775
plant-shape,minmax,0.08
plant-margin,identity,0.0825
plant-margin,autofeat,0.02
plant-margin,random_proj,0.22
plant-margin,ht_svd,0.525
plant-margin,robust,0.0775
plant-margin,minmax,0.075
plant-texture,identity,0.0825
plant-texture,autofeat,0.02
plant-texture,random_proj,0.2225
plant-texture,ht_svd,0.5275
plant-texture,robust,0.075
plant-texture,minmax,0.0725
semeion,identity,0.095
semeion,autofeat,0.02
semeion,random_proj,0.18
semeion,ht_svd,0.5825
semeion,robust,0.0625
semeion,minmax,0.06
musk-2,identity,0.09
musk-2,autofeat,0.02
musk-2,random_proj,0.2775
musk-2,ht_svd,0.455
musk-2,robust,0.0775
musk-2,minmax,0.08
pittsburg-bridges-MATERIAL,identity,0.09
pittsburg-bridges-MATERIAL,autofeat,0.02
pittsburg-bridges-MATERIAL,random_proj,0.1375
pittsburg-bridges-MATERIAL,ht_svd,0.64
pittsburg-bridges-MATERIAL,robust,0.0575
pittsburg-bridges-MATERIAL,minmax,0.055
pittsburg-bridges-TYPE,identity,0.09
pittsburg-bridges-TYPE,autofeat,0.02
pittsburg-bridges-TYPE,random_proj,0.135
pittsburg-bridges-TYPE,ht_svd,0.62
pittsburg-bridges-TYPE,robust,0.075
pittsburg-bridges-TYPE,minmax,0.06
conn-bench-sonar-mines-rocks,identity,0.08
conn-bench-sonar-mines-rocks,autofeat,0.02
conn-bench-sonar-mines-rocks,random_proj,0.19
conn-bench-sonar-mines-rocks,ht_svd,0.59
conn-bench-sonar-mines-rocks,robust,0.0625
conn-bench-sonar-mines-rocks,minmax,0.0575
