dataset,fold,phase,fe,count
hill-valley,0,early,identity,1
hill-valley,0,early,autofeat,6
hill-valley,0,early,random_proj,2
hill-valley,0,early,ht_svd,25
hill-valley,0,early,robust,0
hill-valley,0,early,minmax,0
hill-valley,0,mid,identity,10
hill-valley,0,mid,autofeat,11
hill-valley,0,mid,random_proj,5
hill-valley,0,mid,ht_svd,7
hill-valley,0,mid,robust,0
hill-valley,0,mid,minmax,0
hill-valley,0,late,identity,11
hill-valley,0,late,autofeat,16
hill-valley,0,late,random_proj,3
hill-valley,0,late,ht_svd,3
hill-valley,0,late,robust,0
hill-valley,0,late,minmax,0
hill-valley,1,early,identity,3
hill-valley,1,early,autofeat,0
hill-valley,1,early,random_proj,15
hill-valley,1,early,ht_svd,16
hill-valley,1,early,robust,0
hill-valley,1,early,minmax,0
hill-valley,1,mid,identity,2
hill-valley,1,mid,autofeat,11
hill-valley,1,mid,random_proj,19
hill-valley,1,mid,ht_svd,1
hill-valley,1,mid,robust,0
hill-valley,1,mid,minmax,0
hill-valley,1,late,identity,11
hill-valley,1,late,autofeat,3
hill-valley,1,late,random_proj,18
hill-valley,1,late,ht_svd,1
hill-valley,1,late,robust,0
hill-valley,1,late,minmax,0
hill-valley,2,early,identity,3
hill-valley,2,early,autofeat,4
hill-valley,2,early,random_proj,9
hill-valley,2,early,ht_svd,18
hill-valley,2,early,robust,0
hill-valley,2,early,minmax,0
hill-valley,2,mid,identity,7
hill-valley,2,mid,autofeat,10
hill-valley,2,mid,random_proj,14
hill-valley,2,mid,ht_svd,2
hill-valley,2,mid,robust,0
hill-valley,2,mid,minmax,0
hill-valley,2,late,identity,11
hill-valley,2,late,autofeat,7
hill-valley,2,late,random_proj,11
hill-valley,2,late,ht_svd,4
hill-valley,2,late,robust,0
hill-valley,2,late,minmax,0
hill-valley,3,early,identity,0
hill-valley,3,early,autofeat,1
hill-valley,3,early,random_proj,9
hill-valley,3,early,ht_svd,24
hill-valley,3,early,robust,0
hill-valley,3,early,minmax,0
hill-valley,3,mid,identity,4
hill-valley,3,mid,autofeat,4
hill-valley,3,mid,random_proj,10
hill-valley,3,mid,ht_svd,15
hill-valley,3,mid,robust,0
hill-valley,3,mid,minmax,0
hill-valley,3,late,identity,9
hill-valley,3,late,autofeat,14
hill-valley,3,late,random_proj,7
hill-valley,3,late,ht_svd,3
hill-valley,3,late,robust,0
hill-valley,3,late,minmax,0
statlog-image,0,early,identity,16
statlog-image,0,early,autofeat,12
statlog-image,0,early,random_proj,2
statlog-image,0,early,ht_svd,4
statlog-image,0,early,robust,0
statlog-image,0,early,minmax,0
statlog-image,0,mid,identity,5
statlog-image,0,mid,autofeat,18
statlog-image,0,mid,random_proj,4
statlog-image,0,mid,ht_svd,6
statlog-image,0,mid,robust,0
statlog-image,0,mid,minmax,0
statlog-image,0,late,identity,0
statlog-image,0,late,autofeat,1
statlog-image,0,late,random_proj,11
statlog-image,0,late,ht_svd,21
statlog-image,0,late,robust,0
statlog-image,0,late,minmax,0
statlog-image,1,early,identity,10
statlog-image,1,early,autofeat,21
statlog-image,1,early,random_proj,2
statlog-image,1,early,ht_svd,1
statlog-image,1,early,robust,0
statlog-image,1,early,minmax,0
statlog-image,1,mid,identity,1
statlog-image,1,mid,autofeat,5
statlog-image,1,mid,random_proj,4
statlog-image,1,mid,ht_svd,23
statlog-image,1,mid,robust,0
statlog-image,1,mid,minmax,0
statlog-image,1,late,identity,3
statlog-image,1,late,autofeat,4
statlog-image,1,late,random_proj,11
statlog-image,1,late,ht_svd,15
statlog-image,1,late,robust,0
statlog-image,1,late,minmax,0
statlog-image,2,early,identity,16
statlog-image,2,early,autofeat,7
statlog-image,2,early,random_proj,5
statlog-image,2,early,ht_svd,6
statlog-image,2,early,robust,0
statlog-image,2,early,minmax,0
statlog-image,2,mid,identity,4
statlog-image,2,mid,autofeat,7
statlog-image,2,mid,random_proj,10
statlog-image,2,mid,ht_svd,12
statlog-image,2,mid,robust,0
statlog-image,2,mid,minmax,0
statlog-image,2,late,identity,4
statlog-image,2,late,autofeat,1
statlog-image,2,late,random_proj,2
statlog-image,2,late,ht_svd,26
statlog-image,2,late,robust,0
statlog-image,2,late,minmax,0
statlog-image,3,early,identity,16
statlog-image,3,early,autofeat,16
statlog-image,3,early,random_proj,2
statlog-image,3,early,ht_svd,0
statlog-image,3,early,robust,0
statlog-image,3,early,minmax,0
statlog-image,3,mid,identity,8
statlog-image,3,mid,autofeat,4
statlog-image,3,mid,random_proj,2
statlog-image,3,mid,ht_svd,19
statlog-image,3,mid,robust,0
statlog-image,3,mid,minmax,0
statlog-image,3,late,identity,4
statlog-image,3,late,autofeat,2
statlog-image,3,late,random_proj,3
statlog-image,3,late,ht_svd,24
statlog-image,3,late,robust,0
statlog-image,3,late,minmax,0
molec-biol-promoter,0,early,identity,11
molec-biol-promoter,0,early,autofeat,15
molec-biol-promoter,0,early,random_proj,4
molec-biol-promoter,0,early,ht_svd,4
molec-biol-promoter,0,early,robust,0
molec-biol-promoter,0,early,minmax,0
molec-biol-promoter,0,mid,identity,8
molec-biol-promoter,0,mid,autofeat,9
molec-biol-promoter,0,mid,random_proj,5
molec-biol-promoter,0,mid,ht_svd,11
molec-biol-promoter,0,mid,robust,0
molec-biol-promoter,0,mid,minmax,0
molec-biol-promoter,0,late,identity,24
molec-biol-promoter,0,late,autofeat,2
molec-biol-promoter,0,late,random_proj,0
molec-biol-promoter,0,late,ht_svd,7
molec-biol-promoter,0,late,robust,0
molec-biol-promoter,0,late,minmax,0
molec-biol-promoter,1,early,identity,15
molec-biol-promoter,1,early,autofeat,10
molec-biol-promoter,1,early,random_proj,8
molec-biol-promoter,1,early,ht_svd,1
molec-biol-promoter,1,early,robust,0
molec-biol-promoter,1,early,minmax,0
molec-biol-promoter,1,mid,identity,22
molec-biol-promoter,1,mid,autofeat,4
molec-biol-promoter,1,mid,random_proj,3
molec-biol-promoter,1,mid,ht_svd,4
molec-biol-promoter,1,mid,robust,0
molec-biol-promoter,1,mid,minmax,0
molec-biol-promoter,1,late,identity,33
molec-biol-promoter,1,late,autofeat,0
molec-biol-promoter,1,late,random_proj,0
molec-biol-promoter,1,late,ht_svd,0
molec-biol-promoter,1,late,robust,0
molec-biol-promoter,1,late,minmax,0
molec-biol-promoter,2,early,identity,7
molec-biol-promoter,2,early,autofeat,18
molec-biol-promoter,2,early,random_proj,3
molec-biol-promoter,2,early,ht_svd,6
molec-biol-promoter,2,early,robust,0
molec-biol-promoter,2,early,minmax,0
molec-biol-promoter,2,mid,identity,4
molec-biol-promoter,2,mid,autofeat,4
molec-biol-promoter,2,mid,random_proj,0
molec-biol-promoter,2,mid,ht_svd,25
molec-biol-promoter,2,mid,robust,0
molec-biol-promoter,2,mid,minmax,0
molec-biol-promoter,2,late,identity,23
