dataset,fold,step,fe
hill-valley,0,0,ht_svd
hill-valley,0,1,ht_svd
hill-valley,0,2,ht_svd
hill-valley,0,3,ht_svd
hill-valley,0,4,ht_svd
hill-valley,0,5,ht_svd
hill-valley,0,6,ht_svd
hill-valley,0,7,ht_svd
hill-valley,0,8,ht_svd
hill-valley,0,9,ht_svd
hill-valley,0,10,ht_svd
hill-valley,0,11,ht_svd
hill-valley,0,12,ht_svd
hill-valley,0,13,identity
hill-valley,0,14,ht_svd
hill-valley,0,15,ht_svd
hill-valley,0,16,ht_svd
hill-valley,0,17,ht_svd
hill-valley,0,18,ht_svd
hill-valley,0,19,ht_svd
hill-valley,0,20,ht_svd
hill-valley,0,21,ht_svd
hill-valley,0,22,autofeat
hill-valley,0,23,ht_svd
hill-valley,0,24,ht_svd
hill-valley,0,25,ht_svd
hill-valley,0,26,autofeat
hill-valley,0,27,random_proj
hill-valley,0,28,autofeat
hill-valley,0,29,ht_svd
hill-valley,0,30,autofeat
hill-valley,0,31,autofeat
hill-valley,0,32,random_proj
hill-valley,0,33,autofeat
hill-valley,0,34,ht_svd
hill-valley,0,35,ht_svd
hill-valley,0,36,identity
hill-valley,0,37,random_proj
hill-valley,0,38,autofeat
hill-valley,0,39,identity
hill-valley,0,40,autofeat
hill-valley,0,41,identity
hill-valley,0,42,autofeat
hill-valley,0,43,ht_svd
hill-valley,0,44,autofeat
hill-valley,0,45,identity
hill-valley,0,46,autofeat
hill-valley,0,47,ht_svd
hill-valley,0,48,random_proj
hill-valley,0,49,ht_svd
hill-valley,0,50,identity
hill-valley,0,51,autofeat
hill-valley,0,52,random_proj
hill-valley,0,53,ht_svd
hill-valley,0,54,identity
hill-valley,0,55,autofeat
hill-valley,0,56,random_proj
hill-valley,0,57,ht_svd
hill-valley,0,58,identity
hill-valley,0,59,random_proj
hill-valley,0,60,autofeat
hill-valley,0,61,identity
hill-valley,0,62,identity
hill-valley,0,63,autofeat
hill-valley,0,64,identity
hill-valley,0,65,autofeat
hill-valley,0,66,autofeat
hill-valley,0,67,autofeat
hill-valley,0,68,random_proj
hill-valley,0,69,identity
hill-valley,0,70,autofeat
hill-valley,0,71,identity
hill-valley,0,72,autofeat
hill-valley,0,73,autofeat
hill-valley,0,74,autofeat
hill-valley,0,75,autofeat
hill-valley,0,76,autofeat
hill-valley,0,77,identity
hill-valley,0,78,random_proj
hill-valley,0,79,ht_svd
hill-valley,0,80,identity
hill-valley,0,81,identity
