dataset,config,fold,seed,acc,cost
hill-valley,plain_xgb,0,0,0.5215,0.0
hill-valley,round_robin,0,0,0.6898,148.3
hill-valley,fixed_htsvd,0,0,0.7112,46.3
hill-valley,bandit,0,0,0.6964,61.7
hill-valley,plain_xgb,0,1,0.5215,0.0
hill-valley,round_robin,0,1,0.6799,148.3
hill-valley,fixed_htsvd,0,1,0.6997,46.3
hill-valley,bandit,0,1,0.6997,61.0
hill-valley,plain_xgb,0,2,0.5215,0.0
hill-valley,round_robin,0,2,0.6667,148.3
hill-valley,fixed_htsvd,0,2,0.7129,46.3
hill-valley,bandit,0,2,0.703,61.7
hill-valley,plain_xgb,1,0,0.5248,0.0
hill-valley,round_robin,1,0,0.665,148.1
hill-valley,fixed_htsvd,1,0,0.6535,45.4
hill-valley,bandit,1,0,0.67,58.8
hill-valley,plain_xgb,1,1,0.5248,0.0
hill-valley,round_robin,1,1,0.6485,148.1
hill-valley,fixed_htsvd,1,1,0.6634,45.4
hill-valley,bandit,1,1,0.6733,59.5
hill-valley,plain_xgb,1,2,0.5248,0.0
hill-valley,round_robin,1,2,0.6634,148.1
hill-valley,fixed_htsvd,1,2,0.6733,45.4
hill-valley,bandit,1,2,0.6683,58.8
hill-valley,plain_xgb,2,0,0.5248,0.0
hill-valley,round_robin,2,0,0.6436,147.9
hill-valley,fixed_htsvd,2,0,0.6733,44.4
hill-valley,bandit,2,0,0.6848,60.1
hill-valley,plain_xgb,2,1,0.5248,0.0
hill-valley,round_robin,2,1,0.637,147.9
hill-valley,fixed_htsvd,2,1,0.67,44.4
hill-valley,bandit,2,1,0.6634,58.6
hill-valley,plain_xgb,2,2,0.5248,0.0
hill-valley,round_robin,2,2,0.6634,147.9
hill-valley,fixed_htsvd,2,2,0.665,44.4
hill-valley,bandit,2,2,0.6601,58.6
hill-valley,plain_xgb,3,0,0.5479,0.0
hill-valley,round_robin,3,0,0.6634,148.1
hill-valley,fixed_htsvd,3,0,0.6931,45.4
hill-valley,bandit,3,0,0.6931,59.6
hill-valley,plain_xgb,3,1,0.5479,0.0
hill-valley,round_robin,3,1,0.6716,148.1
hill-valley,fixed_htsvd,3,1,0.6716,45.4
hill-valley,bandit,3,1,0.6898,58.3
hill-valley,plain_xgb,3,2,0.5479,0.0
hill-valley,round_robin,3,2,0.665,148.1
hill-valley,fixed_htsvd,3,2,0.6848,45.4
hill-valley,bandit,3,2,0.6716,59.6
statlog-image,plain_xgb,0,0,0.9757,0.0
statlog-image,round_robin,0,0,0.9723,147.2
statlog-image,fixed_htsvd,0,0,0.9584,40.6
statlog-image,bandit,0,0,0.9705,59.2
statlog-image,plain_xgb,0,1,0.9757,0.0
statlog-image,round_robin,0,1,0.9757,147.2
statlog-image,fixed_htsvd,0,1,0.9515,40.6
statlog-image,bandit,0,1,0.9723,59.2
statlog-image,plain_xgb,0,2,0.9757,0.0
statlog-image,round_robin,0,2,0.9792,147.2
statlog-image,fixed_htsvd,0,2,0.9549,40.6
statlog-image,bandit,0,2,0.9688,59.9
statlog-image,plain_xgb,1,0,0.9809,0.0
