dataset,plain_xgb,fixed_htsvd,twofe,cheap_rr,round_robin,bandit
arrhythmia,0.7589,0.7441,0.7316,0.7618,0.7647,0.7626
conn-bench-sonar-mines-rocks,0.7885,0.7853,0.7708,0.8109,0.7901,0.7772
hill-valley,0.5298,0.681,0.6781,0.6724,0.6631,0.6811
libras,0.7292,0.8102,0.816,0.7963,0.7905,0.8009
molec-biol-promoter,0.9038,0.8013,0.8333,0.8846,0.9135,0.8622
monks-3,0.5278,0.5444,0.5449,0.5297,0.529,0.5365
musk-2,0.985,0.9739,0.9743,0.9823,0.9835,0.9796
pittsburg-bridges-MATERIAL,0.8864,0.8636,0.856,0.875,0.8863,0.8674
pittsburg-bridges-TYPE,0.619,0.619,0.627,0.6349,0.6468,0.6468
plant-margin,0.6812,0.7201,0.7211,0.7206,0.7276,0.724
plant-shape,0.4945,0.5722,0.5737,0.5497,0.5456,0.562
plant-texture,0.7094,0.7232,0.7302,0.7325,0.7373,0.7352
semeion,0.9227,0.9227,0.9194,0.9236,0.9244,0.9271
statlog-image,0.9814,0.9643,0.9723,0.9824,0.9828,0.9796
vertebral-column-3clases,0.8312,0.7835,0.8138,0.8344,0.8301,0.8312
