dataset,config,fold,seed,acc,cost
hill-valley,twofe,0,0,0.6914,53.5
hill-valley,bandit,0,0,0.6964,61.7
hill-valley,twofe,0,1,0.698,53.5
hill-valley,bandit,0,1,0.6997,61.0
hill-valley,twofe,0,2,0.7046,53.5
hill-valley,bandit,0,2,0.703,61.7
hill-valley,twofe,1,0,0.665,53.0
hill-valley,bandit,1,0,0.67,58.8
hill-valley,twofe,1,1,0.6749,53.0
hill-valley,bandit,1,1,0.6733,59.5
hill-valley,twofe,1,2,0.6518,53.0
hill-valley,bandit,1,2,0.6683,58.8
hill-valley,twofe,2,0,0.665,52.5
hill-valley,bandit,2,0,0.6848,60.1
hill-valley,twofe,2,1,0.6749,52.5
hill-valley,bandit,2,1,0.6634,58.6
hill-valley,twofe,2,2,0.665,52.5
hill-valley,bandit,2,2,0.6601,58.6
hill-valley,twofe,3,0,0.6782,53.0
hill-valley,bandit,3,0,0.6931,59.6
hill-valley,twofe,3,1,0.6815,53.0
hill-valley,bandit,3,1,0.6898,58.3
hill-valley,twofe,3,2,0.6865,53.0
hill-valley,bandit,3,2,0.6716,59.6
statlog-image,twofe,0,0,0.9671,50.6
statlog-image,bandit,0,0,0.9705,59.2
statlog-image,twofe,0,1,0.9601,50.6
statlog-image,bandit,0,1,0.9723,59.2
statlog-image,twofe,0,2,0.9653,50.6
statlog-image,bandit,0,2,0.9688,59.9
statlog-image,twofe,1,0,0.9723,47.9
statlog-image,bandit,1,0,0.9792,54.4
statlog-image,twofe,1,1,0.9792,47.9
statlog-image,bandit,1,1,0.9827,54.7
statlog-image,twofe,1,2,0.974,47.9
statlog-image,bandit,1,2,0.9809,54.7
statlog-image,twofe,2,0,0.9775,53.2
statlog-image,bandit,2,0,0.9844,64.0
statlog-image,twofe,2,1,0.9705,53.2
statlog-image,bandit,2,1,0.9827,64.0
statlog-image,twofe,2,2,0.9827,53.2
statlog-image,bandit,2,2,0.9879,63.8
statlog-image,twofe,3,0,0.9705,47.9
statlog-image,bandit,3,0,0.9809,54.7
statlog-image,twofe,3,1,0.9757,47.9
statlog-image,bandit,3,1,0.9827,54.7
statlog-image,twofe,3,2,0.9723,47.9
statlog-image,bandit,3,2,0.9827,54.7
molec-biol-promoter,twofe,0,0,0.8077,37.9
molec-biol-promoter,bandit,0,0,0.9615,32.3
molec-biol-promoter,twofe,0,1,0.8077,37.9
molec-biol-promoter,bandit,0,1,0.8846,38.6
molec-biol-promoter,twofe,0,2,0.8462,37.9
molec-biol-promoter,bandit,0,2,0.8462,36.0
molec-biol-promoter,twofe,1,0,0.8846,37.9
molec-biol-promoter,bandit,1,0,0.8846,32.2
molec-biol-promoter,twofe,1,1,0.8846,37.9
molec-biol-promoter,bandit,1,1,0.8462,35.6
molec-biol-promoter,twofe,1,2,0.8846,37.9
molec-biol-promoter,bandit,1,2,0.8846,33.2
molec-biol-promoter,twofe,2,0,0.8462,37.9
molec-biol-promoter,bandit,2,0,0.8462,33.7
molec-biol-promoter,twofe,2,1,0.7308,37.9
molec-biol-promoter,bandit,2,1,0.7308,31.7
molec-biol-promoter,twofe,2,2,0.6923,37.9
molec-biol-promoter,bandit,2,2,0.6923,31.7
molec-biol-promoter,twofe,3,0,0.8846,37.9
molec-biol-promoter,bandit,3,0,0.9615,30.7
molec-biol-promoter,twofe,3,1,0.8462,37.9
molec-biol-promoter,bandit,3,1,0.9231,33.6
molec-biol-promoter,twofe,3,2,0.8846,37.9
molec-biol-promoter,bandit,3,2,0.8846,36.0
monks-3,twofe,0,0,0.544,45.3
monks-3,bandit,0,0,0.5278,48.5
monks-3,twofe,0,1,0.5278,45.3
monks-3,bandit,0,1,0.5278,49.2
monks-3,twofe,0,2,0.5347,45.3
monks-3,bandit,0,2,0.5278,48.2
monks-3,twofe,1,0,0.5417,45.3
monks-3,bandit,1,0,0.5301,52.3
monks-3,twofe,1,1,0.537,45.3
monks-3,bandit,1,1,0.5347,49.2
monks-3,twofe,1,2,0.5324,45.3
monks-3,bandit,1,2,0.5324,49.2
monks-3,twofe,2,0,0.537,45.3
monks-3,bandit,2,0,0.5278,49.2
monks-3,twofe,2,1,0.5278,45.3
monks-3,bandit,2,1,0.5278,49.2
monks-3,twofe,2,2,0.5394,45.3
monks-3,bandit,2,2,0.5278,49.2
monks-3,twofe,3,0,0.5926,45.3
monks-3,bandit,3,0,0.5671,51.0
monks-3,twofe,3,1,0.5718,45.3
monks-3,bandit,3,1,0.5625,50.8
monks-3,twofe,3,2,0.5532,45.3
monks-3,bandit,3,2,0.544,51.3
vertebral-column-3clases,twofe,0,0,0.7922,45.3
vertebral-column-3clases,bandit,0,0,0.7922,49.2
vertebral-column-3clases,twofe,0,1,0.8182,45.3
vertebral-column-3clases,bandit,0,1,0.7922,50.2
vertebral-column-3clases,twofe,0,2,0.7792,45.3
vertebral-column-3clases,bandit,0,2,0.8312,50.3
vertebral-column-3clases,twofe,1,0,0.8571,53.2
vertebral-column-3clases,bandit,1,0,0.8571,63.7
vertebral-column-3clases,twofe,1,1,0.8312,53.2
vertebral-column-3clases,bandit,1,1,0.8831,63.3
vertebral-column-3clases,twofe,1,2,0.8701,53.2
vertebral-column-3clases,bandit,1,2,0.8701,63.2
vertebral-column-3clases,twofe,2,0,0.7792,45.3
vertebral-column-3clases,bandit,2,0,0.8052,49.3
vertebral-column-3clases,twofe,2,1,0.7922,45.3
vertebral-column-3clases,bandit,2,1,0.8312,49.3
vertebral-column-3clases,twofe,2,2,0.8182,45.3
vertebral-column-3clases,bandit,2,2,0.8052,48.5
vertebral-column-3clases,twofe,3,0,0.8052,45.3
vertebral-column-3clases,bandit,3,0,0.8182,49.5
vertebral-column-3clases,twofe,3,1,0.8182,45.3
vertebral-column-3clases,bandit,3,1,0.8312,48.8
vertebral-column-3clases,twofe,3,2,0.8052,45.3
vertebral-column-3clases,bandit,3,2,0.8571,50.7
arrhythmia,twofe,0,0,0.7345,49.9
arrhythmia,bandit,0,0,0.7788,56.5
arrhythmia,twofe,0,1,0.6991,49.9
arrhythmia,bandit,0,1,0.7345,56.5
arrhythmia,twofe,0,2,0.7522,49.9
arrhythmia,bandit,0,2,0.7611,56.2
arrhythmia,twofe,1,0,0.7434,49.7
arrhythmia,bandit,1,0,0.7699,55.6
arrhythmia,twofe,1,1,0.7522,49.7
arrhythmia,bandit,1,1,0.7876,56.0
arrhythmia,twofe,1,2,0.708,49.7
arrhythmia,bandit,1,2,0.7257,56.0
arrhythmia,twofe,2,0,0.6991,50.1
arrhythmia,bandit,2,0,0.7699,57.2
arrhythmia,twofe,2,1,0.7257,50.1
arrhythmia,bandit,2,1,0.7876,56.5
